Phi, Gain_n2, Gainh_n2, Gains_n2
138.000000, 7.067832, -0.615814, 2.020557
139.000000, 7.129503, -0.808620, 2.122557
140.000000, 7.198272, -0.948766, 2.148743
141.000000, 7.286256, -1.090496, 2.048833
142.000000, 7.376450, -1.315107, 1.792940
143.000000, 7.467921, -1.569842, 1.458847
144.000000, 7.557399, -1.870064, 1.063554
145.000000, 7.621196, -2.217532, 0.615447
146.000000, 7.646541, -2.616442, 0.133959
147.000000, 7.571073, -3.100831, -0.386136
148.000000, 7.435011, -3.610938, -0.935010
149.000000, 7.267825, -4.106904, -1.502362
150.000000, 7.077501, -4.571494, -2.014953
151.000000, 6.863828, -4.994997, -2.285435
152.000000, 6.603519, -5.399959, -2.322615
153.000000, 6.245058, -5.953346, -2.357568
154.000000, 5.865812, -6.486680, -2.415227
155.000000, 5.477726, -6.961521, -2.496451
156.000000, 5.106059, -7.346441, -2.610632
157.000000, 4.765644, -7.627199, -2.754174
158.000000, 4.414398, -7.892710, -2.947951
159.000000, 4.048108, -8.056975, -3.203803
160.000000, 3.708542, -8.074391, -3.477735
161.000000, 3.399551, -7.989626, -3.535493
162.000000, 3.120296, -7.828565, -3.464774
163.000000, 2.860280, -7.648231, -3.377601
164.000000, 2.548962, -7.942862, -3.375634
165.000000, 2.208188, -8.311688, -3.398472
166.000000, 1.846231, -8.592671, -3.431188
167.000000, 1.469193, -8.719966, -3.476403
168.000000, 1.073581, -8.681425, -3.551391
169.000000, 0.625220, -8.664767, -3.709581
170.000000, 0.063323, -8.995351, -3.998914
171.000000, -0.517085, -9.366301, -4.288556
172.000000, -1.078663, -9.708809, -4.547743
173.000000, -1.605256, -9.989406, -4.768543
174.000000, -2.072545, -10.180568, -4.934105
175.000000, -2.473287, -10.283591, -5.069526
176.000000, -2.816235, -10.321580, -5.192491
177.000000, -3.131617, -10.303533, -5.354766
178.000000, -3.457060, -10.222693, -5.585492
179.000000, -3.826599, -9.991897, -5.870723
180.000000, -4.262652, -9.487281, -6.099980
181.000000, -4.320028, -9.300957, -6.067695
182.000000, -4.342212, -8.911666, -6.015948
183.000000, -4.467765, -8.647191, -6.106812
184.000000, -4.734025, -8.606754, -6.369855
185.000000, -5.108290, -8.759023, -6.763544
186.000000, -5.507104, -9.041370, -7.181013
187.000000, -5.830708, -9.363106, -7.485154
188.000000, -5.970138, -9.656412, -7.550926
189.000000, -5.870128, -9.894762, -7.356925
190.000000, -5.599429, -10.087109, -6.971684
191.000000, -5.276500, -10.253732, -6.503978
192.000000, -5.506426, -10.582467, -6.506778
193.000000, -5.945694, -10.960928, -6.512673
194.000000, -6.343007, -11.262812, -6.299397
195.000000, -6.607112, -11.421501, -5.898624
196.000000, -6.704194, -11.381664, -5.429296
197.000000, -6.827802, -11.147435, -5.123208
198.000000, -7.750817, -11.142087, -5.589734
199.000000, -8.550949, -11.230490, -6.023392
200.000000, -8.964590, -11.398142, -6.332002
201.000000, -8.887605, -11.629061, -6.502851
202.000000, -8.461623, -11.918637, -6.589479
203.000000, -8.444131, -12.387418, -7.076776
204.000000, -8.980778, -12.832076, -7.998539
205.000000, -9.465123, -12.822750, -8.779734
206.000000, -9.775663, -12.280085, -8.170871
207.000000, -9.767218, -11.750943, -6.935411
208.000000, -9.434157, -11.371859, -5.805668
209.000000, -10.249224, -11.484295, -5.842549
210.000000, -11.452531, -11.647578, -5.992415
211.000000, -12.645123, -11.762698, -5.970688
212.000000, -13.382274, -11.331667, -5.742359
213.000000, -12.935952, -10.733042, -5.418307
214.000000, -12.401755, -10.332126, -5.447890
215.000000, -12.796667, -10.343181, -6.501337
216.000000, -12.458160, -10.129281, -7.462373
217.000000, -11.336659, -9.703975, -7.605618
218.000000, -9.826552, -9.163376, -6.699885
219.000000, -8.484520, -8.612051, -5.538076
220.000000, -8.284708, -8.516051, -5.103576
221.000000, -8.732145, -8.558835, -4.996509
222.000000, -9.181875, -8.356282, -4.786840
223.000000, -9.444040, -7.947541, -4.511100
224.000000, -9.414161, -7.482952, -4.226052
225.000000, -9.180832, -7.070668, -4.006335
226.000000, -10.190179, -7.275463, -4.873886
227.000000, -10.651929, -7.542552, -5.905487
228.000000, -10.581538, -7.817986, -6.719066
229.000000, -10.275598, -8.068380, -6.932506
230.000000, -9.804268, -8.267563, -6.728383
231.000000, -9.539067, -8.565371, -6.792937
232.000000, -9.669749, -9.047005, -7.489324
233.000000, -9.682368, -9.124118, -7.533808
234.000000, -9.587163, -8.729437, -6.886494
235.000000, -9.391623, -8.043685, -6.114754
236.000000, -9.150962, -7.349020, -5.482467
237.000000, -9.237365, -7.346622, -5.941688
238.000000, -9.174555, -7.751586, -6.950761
239.000000, -8.826794, -8.355132, -7.152771
240.000000, -8.380908, -9.140621, -7.313173
241.000000, -7.978411, -10.064084, -7.221244
242.000000, -7.806821, -11.095533, -6.516095
243.000000, -8.587459, -12.514469, -6.541788
244.000000, -9.485477, -13.166499, -6.687450
245.000000, -10.236434, -13.354890, -6.940660
246.000000, -10.505790, -13.260230, -7.269843
247.000000, -10.217040, -12.700122, -7.619723
248.000000, -10.033786, -12.052124, -8.394574
249.000000, -9.987899, -12.226384, -9.934595
250.000000, -9.665211, -12.729660, -11.695971
251.000000, -9.215253, -13.544258, -12.071262
252.000000, -8.792149, -13.540887, -12.003613
253.000000, -8.449578, -12.903320, -11.805695
254.000000, -8.677288, -12.400690, -11.763843
255.000000, -8.988786, -12.033362, -10.673321
256.000000, -9.296889, -11.761331, -9.380354
257.000000, -9.518083, -11.464006, -8.475653
258.000000, -9.650163, -10.811035, -7.968352
259.000000, -10.039673, -10.353289, -8.104228
260.000000, -11.309544, -10.826319, -9.168791
261.000000, -12.099371, -11.609171, -9.449412
262.000000, -12.279703, -12.655408, -9.226678
263.000000, -11.972882, -13.941432, -8.967583
264.000000, -11.380102, -15.445210, -8.494729
265.000000, -11.691463, -17.165250, -7.972506
266.000000, -12.797660, -16.595360, -7.861853
267.000000, -13.590551, -15.897135, -7.706634
268.000000, -12.621765, -15.243997, -7.520585
269.000000, -11.477170, -14.569402, -7.417829
270.000000, -10.210768, -13.078303, -8.074927
271.000000, -9.921124, -12.022902, -8.350009
272.000000, -9.709129, -10.792308, -8.241254
273.000000, -9.569127, -9.682935, -8.229310
274.000000, -9.507232, -8.790580, -7.524521
275.000000, -9.685048, -8.443783, -6.934723
276.000000, -10.152742, -8.693940, -6.826667
277.000000, -10.368059, -8.939855, -6.828222
278.000000, -10.278955, -9.027435, -6.799308
279.000000, -10.130936, -8.818997, -6.300425
280.000000, -10.007813, -8.349849, -5.169768
281.000000, -10.671942, -8.340409, -4.880132
282.000000, -11.361354, -8.402052, -5.105863
283.000000, -11.576292, -8.286345, -5.577311
284.000000, -11.059734, -8.049514, -6.237903
285.000000, -10.354878, -7.811712, -6.937547
286.000000, -9.906987, -7.862382, -7.473838
287.000000, -10.901229, -9.257400, -8.240643
288.000000, -11.910319, -10.840924, -8.872915
289.000000, -12.214202, -11.301021, -9.117902
290.000000, -12.035257, -10.410912, -8.276334
291.000000, -11.595102, -9.124947, -7.230693
292.000000, -11.386475, -8.348177, -6.899837
293.000000, -11.565346, -8.273695, -7.233026
294.000000, -11.534585, -8.421192, -7.652047
295.000000, -10.068054, -8.333074, -8.005202
296.000000, -8.902422, -7.439202, -8.224371
297.000000, -8.080949, -6.664225, -8.338928
298.000000, -8.136712, -6.527979, -9.007269
299.000000, -8.127301, -6.381246, -9.750607
300.000000, -7.919971, -6.110955, -9.653188
301.000000, -7.549123, -5.760800, -9.151303
302.000000, -7.115053, -5.420253, -8.580878
303.000000, -6.968775, -5.258713, -8.167480
304.000000, -7.596698, -5.417750, -8.302669
305.000000, -8.089528, -5.340259, -8.544244
306.000000, -8.211991, -5.051558, -8.824121
307.000000, -7.963335, -4.661105, -9.049422
308.000000, -7.643277, -4.265008, -9.183064
309.000000, -8.023536, -4.226957, -10.073816
310.000000, -8.842210, -4.284006, -11.011709
311.000000, -9.566714, -4.110988, -10.371250
312.000000, -9.946856, -3.675734, -9.014088
313.000000, -9.737054, -3.096952, -7.708920
314.000000, -8.997401, -2.550335, -6.672770
315.000000, -8.804337, -2.827705, -6.644676
316.000000, -8.210758, -3.040562, -6.584594
317.000000, -7.307580, -3.034356, -6.418537
318.000000, -6.304437, -2.747962, -6.156950
319.000000, -5.408966, -2.293973, -5.874548
320.000000, -5.142904, -2.222235, -6.034839
321.000000, -5.784108, -2.767913, -6.781841
322.000000, -6.540334, -3.166414, -7.124900
323.000000, -7.243744, -3.263467, -6.838841
324.000000, -7.750769, -3.053850, -6.176920
325.000000, -8.026808, -2.707694, -5.397483
326.000000, -8.966056, -3.327147, -5.290924
327.000000, -9.712825, -4.215415, -5.325179
328.000000, -10.054651, -4.686576, -5.210133
329.000000, -9.792036, -4.469705, -4.963529
330.000000, -8.998281, -3.770072, -4.634212
331.000000, -8.264183, -3.167015, -4.433670
332.000000, -8.789781, -3.889101, -5.076607
333.000000, -9.210460, -4.557875, -5.697629
334.000000, -9.260145, -4.868207, -6.020240
335.000000, -8.696467, -4.643135, -5.974210
336.000000, -7.864642, -4.034709, -5.740265
337.000000, -7.860657, -3.976973, -6.016229
338.000000, -8.643907, -4.399612, -6.969454
339.000000, -9.213423, -4.400324, -7.984543
340.000000, -9.263099, -3.932245, -8.683411
341.000000, -8.768336, -3.151970, -8.125132
342.000000, -7.996441, -2.312992, -7.492945
343.000000, -8.050066, -2.366233, -7.774413
344.000000, -8.043492, -2.424313, -7.957234
345.000000, -7.779584, -2.246872, -7.634515
346.000000, -7.255483, -1.829209, -6.858536
347.000000, -6.161007, -1.276648, -5.884225
348.000000, -5.303088, -0.900982, -5.119028
349.000000, -4.944932, -1.096163, -4.889746
350.000000, -4.580669, -1.240534, -4.633533
351.000000, -4.205497, -1.261317, -4.351951
352.000000, -3.832379, -1.126992, -4.038888
353.000000, -3.490130, -0.872661, -3.712718
354.000000, -3.479888, -0.926214, -3.664913
355.000000, -3.629941, -1.046563, -3.737517
356.000000, -3.689123, -0.899035, -3.668463
357.000000, -3.600279, -0.458041, -3.397319
358.000000, -3.349633, 0.166852, -2.929113
359.000000, -2.965976, 0.847078, -2.377594
